Generation,BestScore,AverageScore
1,162,48.333333333333336
2,167,86.9
3,304,160.13333333333333
4,304,151.6
5,333,175.23333333333332
6,333,167.0
7,333,154.13333333333333
8,333,179.4
9,333,190.5
10,333,169.7
11,333,176.7
12,333,186.76666666666668
13,435,186.23333333333332
14,435,178.0
15,569,186.2
16,569,183.56666666666666
17,569,200.63333333333333
18,569,201.3
19,569,195.93333333333334
20,569,177.83333333333334
21,569,207.33333333333334
22,569,196.96666666666667
23,569,169.8
24,569,208.36666666666667
25,569,178.7
26,569,200.6
27,569,175.53333333333333
28,569,195.56666666666666
29,569,207.3
30,569,192.86666666666667
31,569,192.23333333333332
32,569,177.83333333333334
33,569,190.0
34,569,173.33333333333334
35,569,177.93333333333334
36,569,191.26666666666668
37,569,175.3
38,569,171.3
39,569,172.3
40,837,194.36666666666667
41,837,176.0
42,837,173.9
43,837,189.03333333333333
44,837,189.23333333333332
45,837,190.86666666666667
46,837,204.5
47,837,195.13333333333333
48,837,183.6
49,837,203.06666666666666
50,837,221.66666666666666
51,837,192.3
52,837,206.0
53,837,209.9
54,837,192.8
55,837,226.16666666666666
56,837,221.2
57,837,248.2
58,837,201.7
59,837,235.2
60,837,229.3
61,837,203.8
62,837,224.1
63,837,195.53333333333333
64,837,194.76666666666668
65,837,204.06666666666666
66,837,216.46666666666667
67,837,224.7
68,837,198.8
69,837,253.9
70,837,241.23333333333332
71,1917,309.23333333333335
72,1917,292.0
73,1917,242.93333333333334
74,1917,220.03333333333333
75,1917,240.36666666666667
76,1917,298.96666666666664
77,1917,201.5
78,1917,208.5
79,1917,267.1666666666667
80,1917,211.46666666666667
81,1917,206.66666666666666
82,1917,310.8333333333333
83,1917,227.96666666666667
84,1917,232.36666666666667
85,1917,255.26666666666668
86,1917,219.26666666666668
87,1917,208.73333333333332
88,1917,300.6
89,1917,290.43333333333334
90,1917,226.63333333333333
91,2043,361.06666666666666
92,2043,235.13333333333333
93,2043,242.96666666666667
94,2043,234.03333333333333
95,2043,235.9
96,2043,272.43333333333334
97,2043,211.06666666666666
98,2043,257.8
99,2043,200.93333333333334
100,2043,227.16666666666666
101,2043,221.66666666666666
102,2043,256.7
103,2043,256.9
104,2043,216.23333333333332
105,2043,192.56666666666666
106,2043,224.9
107,2043,206.93333333333334
108,2043,224.5
109,2043,203.73333333333332
110,2043,192.63333333333333
111,2043,231.66666666666666
112,2043,224.2
113,3525,353.8666666666667
114,3525,229.53333333333333
115,3525,284.03333333333336
116,3525,230.86666666666667
117,3525,239.4
118,3525,213.2
119,3525,217.06666666666666
120,3525,198.0
121,3525,283.1333333333333
122,3525,274.6
123,3525,251.1
124,3525,246.6
125,3525,250.13333333333333
126,3525,237.73333333333332
127,3525,206.26666666666668
128,3525,284.8333333333333
129,3525,199.63333333333333
130,3525,272.93333333333334
131,3525,198.53333333333333
132,3525,284.46666666666664
133,6076,556.1666666666666
134,6076,320.4
135,6076,267.43333333333334
136,106439,3872.9
137,106439,59.0
138,208698,7300.633333333333
139,208698,56.63333333333333
